nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo,marca
Néctar Uva e Maçã Qualitá Caixa 200ml,https://www.paodeacucar.com/produto/1616483/nectar-uva-e-maca-qualita-caixa-200ml,200.0,90.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,2025-10-23 07:18:23,Não especificada,7895000528080,Qualitá
Suco Maçã Del Valle Caixa 200ml,https://www.paodeacucar.com/produto/470372/suco-maca-del-valle-caixa-200ml,200.0,98.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,2025-10-23 07:20:18,Não especificada,7894900612059,del Valle
"Suco Laranja, Abacaxi, Cenoura e Gengibre Xandô Garrafa 900ml","https://www.paodeacucar.com/produto/615961/suco-laranja,-abacaxi,-cenoura-e-gengibre-xando-garrafa-900ml",200.0,79.0,18.0,1.1,0.0,0.0,0.0,16.0,43.0,2025-10-23 07:20:38,Não especificada,7896623100615,Xandô
Néctar de Maracujá Qualitá Caixa 200ml,https://www.paodeacucar.com/produto/399849/nectar-de-maracuja-qualita-caixa-200ml,200.0,98.0,24.0,0.0,0.0,0.0,0.9,0.0,30.0,2025-10-23 07:21:34,Não especificada,7895000447930,Qualitá
"Chá Preto Ice Tea Pêssego Leão Garrafa 1,5l","https://www.paodeacucar.com/produto/429390/cha-preto-ice-tea-pessego-leao-garrafa-1,5l",200.0,35.0,8.7,0.0,0.0,0.0,0.0,8.6,57.0,2025-10-23 07:22:12,Não especificada,7891098040909,Leão
"Chá Mate Limão Matte Leão Zero Garrafa 1,5l","https://www.paodeacucar.com/produto/396844/cha-mate-limao-matte-leao-zero-garrafa-1,5l",200.0,4.0,0.9,0.0,0.0,0.0,0.0,0.0,10.0,2025-10-23 07:23:10,Não especificada,7891098040596,Matte Leão
Cerveja Heineken Zero Lata Sleek 350ml,https://www.paodeacucar.com/produto/1606861/cerveja-heineken-zero-lata-sleek-350ml,100.0,21.0,4.8,0.4,0.0,0.0,0.0,0.9,3.0,2025-10-23 07:23:30,Não especificada,7896045506910,Heineken
Néctar Laranja e Maçã Qualitá Caixa 200ml,https://www.paodeacucar.com/produto/1616482/nectar-laranja-e-maca-qualita-caixa-200ml,200.0,84.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,2025-10-23 07:24:07,Não especificada,7895000528103,Qualitá
Bebida à Base de Soja Maçã Ades Caixa 200ml,https://www.paodeacucar.com/produto/78656/bebida-a-base-de-soja-maca-ades-caixa-200ml,200.0,35.0,5.9,1.2,0.6,0.0,0.0,5.0,15.0,2025-10-23 07:24:43,Não especificada,7894900087079,Ades
Bebida à Base de Soja Morango Ades Caixa 200ml,https://www.paodeacucar.com/produto/324326/bebida-a-base-de-soja-morango-ades-caixa-200ml,200.0,32.0,5.1,1.2,0.6,0.0,0.0,3.9,18.0,2025-10-23 07:25:39,Não especificada,7894900087093,Ades
"Chá Lipton Ice Tea Limão Light Garrafa 1,5l","https://www.paodeacucar.com/produto/82074/cha-lipton-ice-tea-limao-light-garrafa-1,5l",200.0,70.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 07:26:16,Não especificada,7891042000201,Lipton
Suco Concentrado Goiaba Maguary Garrafa 500ml,https://www.paodeacucar.com/produto/36522/suco-concentrado-goiaba-maguary-garrafa-500ml,40.0,11.0,2.5,0.0,0.0,0.0,0.0,1.5,5.8,2025-10-23 07:26:35,Não especificada,7896000559265,Maguary
Suco Integral Uva OQ Garrafa 1l,https://www.paodeacucar.com/produto/345640/suco-integral-uva-oq-garrafa-1l,200.0,82.0,19.0,0.9,0.0,0.0,0.0,19.0,0.0,2025-10-23 07:26:56,Não especificada,7898942775314,Oq
Polpa de Fruta Acerola e Laranja Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1618921/polpa-de-fruta-acerola-e-laranja-qualita-pacote-100g,100.0,60.0,13.0,2.1,0.0,0.0,0.0,11.0,25.0,2025-10-23 07:27:52,Não especificada,7895000529018,Qualitá
Suco Concentrado Manga Maguary Garrafa 500ml,https://www.paodeacucar.com/produto/3893/suco-concentrado-manga-maguary-garrafa-500ml,67.0,25.0,6.2,0.0,0.0,0.0,0.0,5.9,5.3,2025-10-23 07:28:29,Não especificada,7896000558381,Maguary
"Refrigerante ANTARCTICA Guaraná Garrafa 1,5L","https://www.paodeacucar.com/produto/125107/refrigerante-antarctica-guarana-garrafa-1,5l",200.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,11.0,2025-10-23 07:29:13,Não especificada,7891991008761,Antarctica
Refrigerante ANTARCTICA Soda Limonada Zero Lata 350ml,https://www.paodeacucar.com/produto/165251/refrigerante-antarctica-soda-limonada-zero-lata-350ml,350.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 07:29:51,Não especificada,7891991000819,Antarctica
Suco Uva Maguary Fruit Shoot Caixa 150ml,https://www.paodeacucar.com/produto/595336/suco-uva-maguary-fruit-shoot-caixa-150ml,150.0,76.0,19.0,0.0,0.0,0.0,0.0,19.0,6.9,2025-10-23 07:30:10,Não especificada,7896000597847,Maguary
"Suco Laranja e Maçã Natural One Ambiente Garrafa 1,3l","https://www.paodeacucar.com/produto/1636198/suco-laranja-e-maca-natural-one-ambiente-garrafa-1,3l",200.0,76.0,19.0,0.0,0.0,0.0,0.0,15.0,7.0,2025-10-23 07:31:29,Não especificada,7899916918720,Natural One
Suco Uva Xandô Garrafa 900ml,https://www.paodeacucar.com/produto/459782/suco-uva-xando-garrafa-900ml,200.0,121.0,28.0,1.0,0.0,0.0,0.0,27.0,43.0,2025-10-23 07:31:49,Não especificada,7896623100462,Xandô
Bebida Uva com Cranberry Life Mix Caixa 1l,https://www.paodeacucar.com/produto/346267/bebida-uva-com-cranberry-life-mix-caixa-1l,200.0,40.0,10.0,0.14,0.0,0.0,3.8,6.0,19.0,2025-10-23 07:32:08,Não especificada,7898954360041,Life Mix
"Refrigerante Citrus Schweppes Garrafa 1,5l","https://www.paodeacucar.com/produto/101676/refrigerante-citrus-schweppes-garrafa-1,5l",200.0,7.0,1.1,0.0,0.0,0.0,0.0,1.1,50.0,2025-10-23 07:32:27,Não especificada,7894900321753,Schweppes
Bebida Laranja Life Mix Caixa 200ml,https://www.paodeacucar.com/produto/346272/bebida-laranja-life-mix-caixa-200ml,200.0,40.0,10.0,0.7,0.0,0.0,3.8,6.8,13.0,2025-10-23 07:32:46,Não especificada,7898954360058,Life Mix
Suco Integral Uva Tinto com Hortelã Villa Piva Garrafa 1l,https://www.paodeacucar.com/produto/426902/suco-integral-uva-tinto-com-hortela-villa-piva-garrafa-1l,200.0,157.0,37.0,0.4,0.3,0.0,0.4,26.0,7.0,2025-10-23 07:34:05,Não especificada,7898965716103,Villa Piva
Suco Integral Laranja OQ Garrafa 1l,https://www.paodeacucar.com/produto/1459416/suco-integral-laranja-oq-garrafa-1l,200.0,82.0,19.0,1.4,0.0,0.0,0.0,18.0,0.0,2025-10-23 07:34:24,Não especificada,7898942775703,Oq
Xarope Guaraná Qualitá Garrafa 1l,https://www.paodeacucar.com/produto/1614402/xarope-guarana-qualita-garrafa-1l,20.0,52.0,13.0,0.0,0.0,0.0,0.0,13.0,9.0,2025-10-23 07:34:43,Não especificada,7895000529292,Qualitá
Suco Integral Tangerina Villa Piva Garrafa 300ml,https://www.paodeacucar.com/produto/423311/suco-integral-tangerina-villa-piva-garrafa-300ml,300.0,133.0,24.0,1.0,3.0,0.0,2.0,25.0,16.0,2025-10-23 07:35:38,Não especificada,7898965716059,Villa Piva
Bebida Orgânica Pink Lemonade Poder da Terra Caixa 1l,https://www.paodeacucar.com/produto/448847/bebida-organica-pink-lemonade-poder-da-terra-caixa-1l,200.0,80.0,20.0,0.0,0.0,0.0,0.0,18.0,10.0,2025-10-23 07:35:57,Não especificada,7898954360805,Poder da Terra
Limonada Orgânica NATIVE 1 Litro,https://www.paodeacucar.com/produto/331027/limonada-organica-native-1-litro,200.0,79.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 07:36:16,Não especificada,7898206502236,Bandeiras
Bebida Orgânica Limonada Poder da Terra Caixa 1l,https://www.paodeacucar.com/produto/448629/bebida-organica-limonada-poder-da-terra-caixa-1l,200.0,80.0,20.0,0.0,0.0,0.0,0.0,18.0,10.0,2025-10-23 07:37:16,Não especificada,7898954360799,Poder da Terra
Refrigerante Coca-Cola Original Garrafa 2l,https://www.paodeacucar.com/produto/449568/refrigerante-coca-cola-original-garrafa-2l,200.0,59.0,15.0,0.0,0.0,0.0,0.0,15.0,10.0,2025-10-23 07:37:40,Não especificada,7894900027013,Coca-Cola
Bebida Orgânica Limonada e Hortelã Poder da Terra Caixa 1l,https://www.paodeacucar.com/produto/448841/bebida-organica-limonada-e-hortela-poder-da-terra-caixa-1l,200.0,80.0,20.0,0.0,0.0,0.0,0.0,18.0,10.0,2025-10-23 07:39:28,Não especificada,7898954360829,Poder da Terra
Suco Maçã Maguary Fruit Shoot Caixa 150ml,https://www.paodeacucar.com/produto/595334/suco-maca-maguary-fruit-shoot-caixa-150ml,150.0,68.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,2025-10-23 07:40:04,Não especificada,7896000597878,Maguary
Suco Integral Maçã Villa Piva Garrafa 300ml,https://www.paodeacucar.com/produto/419697/suco-integral-maca-villa-piva-garrafa-300ml,300.0,145.0,34.0,0.3,0.4,0.0,0.6,30.0,2.0,2025-10-23 07:40:42,Não especificada,7898965716042,Villa Piva
Bebida Orgânica Limonada e Gengibre Poder da Terra Caixa 1l,https://www.paodeacucar.com/produto/448848/bebida-organica-limonada-e-gengibre-poder-da-terra-caixa-1l,200.0,80.0,20.0,0.0,0.0,0.0,0.0,18.0,10.0,2025-10-23 07:41:02,Não especificada,7898954360812,Poder da Terra
Bebida Adoçada Pink Lemonade Villa Piva Garrafa 300ml,https://www.paodeacucar.com/produto/789440/bebida-adocada-pink-lemonade-villa-piva-garrafa-300ml,300.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 07:41:22,Não especificada,7898965716318,Villa Piva
Néctar Orgânico Sabor Maçã e Uva NATIVE 200 g,https://www.paodeacucar.com/produto/405912/nectar-organico-sabor-maca-e-uva-native-200-g,200.0,92.0,23.0,0.0,0.0,0.0,0.0,17.0,53.0,2025-10-23 07:41:59,Não especificada,7898206502663,Bandeiras
Suco Integral Laranja OQ Garrafa 300ml,https://www.paodeacucar.com/produto/1545250/suco-integral-laranja-oq-garrafa-300ml,300.0,123.0,29.0,2.1,0.0,0.0,0.0,26.0,0.0,2025-10-23 07:42:18,Não especificada,7898942775710,Oq
Néctar Orgânico Sabor Maçã e Maracujá NATIVE 200 g,https://www.paodeacucar.com/produto/405914/nectar-organico-sabor-maca-e-maracuja-native-200-g,200.0,87.0,21.0,0.0,0.0,0.0,0.0,17.0,49.0,2025-10-23 07:42:37,Não especificada,7898206502649,Bandeiras
Refrigerante Laranja Zero Adição de Açúcar Fanta Lata 350ml,https://www.paodeacucar.com/produto/110392/refrigerante-laranja-zero-adicao-de-acucar-fanta-lata-350ml,350.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,135.0,2025-10-23 07:42:56,Não especificada,7894900150018,Fanta
Refrigerante Laranja Fanta Garrafa 2l,https://www.paodeacucar.com/produto/12767/refrigerante-laranja-fanta-garrafa-2l,200.0,80.0,20.0,0.0,0.0,0.0,0.0,20.0,24.0,2025-10-23 07:49:07,Não especificada,7894900031515,Fanta
Refrigerante Limão Sprite Garrafa 2l,https://www.paodeacucar.com/produto/412933/refrigerante-limao-sprite-garrafa-2l,200.0,81.0,20.0,0.0,0.0,0.0,0.0,20.0,15.0,2025-10-23 07:49:46,Não especificada,7894900681000,Sprite
Suco Laranja e Maçã Natural One Ambiente Garrafa 900ml,https://www.paodeacucar.com/produto/1631420/suco-laranja-e-maca-natural-one-ambiente-garrafa-900ml,200.0,76.0,19.0,0.0,0.0,0.0,0.0,15.0,7.0,2025-10-23 07:50:05,Não especificada,7899916917037,Natural One
Kit Refrigerante Coca-Cola Original + Fanta Guaraná 2l Cada Leve Mais Pague Menos,https://www.paodeacucar.com/produto/470924/kit-refrigerante-coca-cola-original-+-fanta-guarana-2l-cada-leve-mais-pague-menos,200.0,81.0,21.0,0.0,0.0,0.0,0.0,21.0,16.0,2025-10-23 07:51:00,Não especificada,7894900027334,Coca-Cola
"Chá Mate Natural Matte Leão Garrafa 1,5l","https://www.paodeacucar.com/produto/396846/cha-mate-natural-matte-leao-garrafa-1,5l",200.0,59.0,15.0,0.0,0.0,0.0,0.0,15.0,13.0,2025-10-23 07:51:37,Não especificada,7891098040565,Matte Leão
Suco Integral Laranja Xandô Refrigerado Garrafa 900ml,https://www.paodeacucar.com/produto/461619/suco-integral-laranja-xando-refrigerado-garrafa-900ml,200.0,82.0,18.0,1.2,0.0,0.0,0.0,15.0,6.0,2025-10-23 07:51:56,Não especificada,7896623100509,Xandô
Suco Maçã Del Valle Caixa 1l,https://www.paodeacucar.com/produto/354327/suco-maca-del-valle-caixa-1l,200.0,98.0,24.0,0.0,0.0,0.0,2.8,24.0,25.0,2025-10-23 07:52:50,Não especificada,7894900612004,del Valle
Refrigerante Chucky Punch Fanta Lata 350ml,https://www.paodeacucar.com/produto/1639120/refrigerante-chucky-punch-fanta-lata-350ml,350.0,70.0,16.0,0.0,0.0,0.0,0.0,16.0,46.0,2025-10-23 07:53:45,Não especificada,7894900095203,Fanta
"Suco Uva Natural One Refrigerado Garrafa 1,3l","https://www.paodeacucar.com/produto/1636195/suco-uva-natural-one-refrigerado-garrafa-1,3l",200.0,88.0,22.0,0.0,0.0,0.0,0.0,13.0,13.0,2025-10-23 07:55:33,Não especificada,7899916918744,Natural One
Suco Maçã Natural One Ambiente Garrafa 900ml,https://www.paodeacucar.com/produto/339053/suco-maca-natural-one-ambiente-garrafa-900ml,200.0,114.0,28.0,0.0,0.0,0.0,1.0,18.0,0.0,2025-10-23 07:57:03,Não especificada,7899916904815,Natural One
Refrigerante Limão Sprite Garrafa 200ml,https://www.paodeacucar.com/produto/444514/refrigerante-limao-sprite-garrafa-200ml,200.0,81.0,20.0,0.0,0.0,0.0,0.0,20.0,15.0,2025-10-23 07:57:41,Não especificada,78939745,Sprite
Refrigerante Limão Siciliano FYs Lata 350ml,https://www.paodeacucar.com/produto/446425/refrigerante-limao-siciliano-fys-lata-350ml,200.0,60.0,15.0,0.0,0.0,0.0,0.0,14.0,14.0,2025-10-23 07:58:18,Não especificada,7896052607167,Fys
"Chá Preto Ice Tea Limão Leão Garrafa 1,5l","https://www.paodeacucar.com/produto/429391/cha-preto-ice-tea-limao-leao-garrafa-1,5l",200.0,36.0,8.5,0.0,0.0,0.0,0.0,8.4,57.0,2025-10-23 08:02:16,Não especificada,7891098040855,Leão
Xandô A2 Leite de Fácil Digestão Puro Tipo A Integral Selo Kosher 1 Litro,https://www.paodeacucar.com/produto/1286772/xando-a2-leite-de-facil-digestao-puro-tipo-a-integral-selo-kosher-1-litro,200.0,125.0,9.4,6.6,6.8,4.0,0.0,9.4,120.0,2025-10-23 08:05:36,Não especificada,7896623100769,Xandô
"Suco Integral Uva Branco Aurora Garrafa 1,5l","https://www.paodeacucar.com/produto/184891/suco-integral-uva-branco-aurora-garrafa-1,5l",200.0,116.0,29.0,0.42,0.0,0.0,0.28,0.0,1.52,2025-10-23 08:11:46,Não especificada,7891141025570,Aurora
Refrigerante Tutti Frutti Itubaína Retrô Lata 350ml,https://www.paodeacucar.com/produto/287414/refrigerante-tutti-frutti-itubaina-retro-lata-350ml,350.0,141.0,35.0,0.0,0.0,0.0,0.0,0.0,22.0,2025-10-23 08:13:01,Não especificada,7896052604975,Itubaína
Refrigerante Limão Sprite Lata 350ml,https://www.paodeacucar.com/produto/412934/refrigerante-limao-sprite-lata-350ml,350.0,142.0,36.0,0.0,0.0,0.0,0.0,36.0,27.0,2025-10-23 08:14:15,Não especificada,7894900681017,Sprite
Refrigerante Laranja Fanta Lata 350ml,https://www.paodeacucar.com/produto/76272/refrigerante-laranja-fanta-lata-350ml,350.0,140.0,35.0,0.0,0.0,0.0,0.0,35.0,42.0,2025-10-23 08:14:52,Não especificada,7894900030013,Fanta
Suco Integral Uva Casa de Bento Garrafa 1l,https://www.paodeacucar.com/produto/172104/suco-integral-uva-casa-de-bento-garrafa-1l,200.0,136.0,34.0,0.6,0.0,0.0,0.9,31.0,0.38,2025-10-23 08:15:11,Não especificada,7891141023910,Casa de Bento
Pack Refrigerante Coca-Cola Original Lata 6 Unidades 350ml Cada Leve Mais Pague Menos,https://www.paodeacucar.com/produto/473497/pack-refrigerante-coca-cola-original-lata-6-unidades-350ml-cada-leve-mais-pague-menos,350.0,154.0,37.0,0.0,0.0,0.0,0.0,37.0,18.0,2025-10-23 08:17:38,Não especificada,7894900011326,Coca-Cola
Refrigerante Uva Fanta Garrafa 2l,https://www.paodeacucar.com/produto/70655/refrigerante-uva-fanta-garrafa-2l,200.0,46.0,11.0,0.0,0.0,0.0,0.0,11.0,31.0,2025-10-23 08:19:13,Não especificada,7894900051513,Fanta
Refrigerante Guaraná Antarctica Garrafa 200ml,https://www.paodeacucar.com/produto/459409/refrigerante-guarana-antarctica-garrafa-200ml,200.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 08:20:25,Não especificada,7891991014908,Antarctica
Refrigerante Laranja-Pera FYs Lata 350ml,https://www.paodeacucar.com/produto/446223/refrigerante-laranja-pera-fys-lata-350ml,200.0,59.0,15.0,0.0,0.0,0.0,0.0,15.0,27.0,2025-10-23 08:22:34,Não especificada,7896052607129,Fys
Água De Coco Kero Coco Caixa 200Ml,https://www.paodeacucar.com/produto/23339/agua-de-coco-kero-coco-caixa-200ml,200.0,40.0,10.0,0.0,0.0,0.0,0.0,10.0,12.0,2025-10-23 08:29:52,Não especificada,7896828000017,Kero Coco
Néctar Laranja Del Valle Caixa 1l,https://www.paodeacucar.com/produto/29497/nectar-laranja-del-valle-caixa-1l,200.0,84.0,21.0,0.0,0.0,0.0,0.0,21.0,6.2,2025-10-23 08:30:46,Não especificada,7898341430111,del Valle
Refrigerante Laranja Fanta Garrafa 600ml,https://www.paodeacucar.com/produto/106062/refrigerante-laranja-fanta-garrafa-600ml,200.0,80.0,20.0,0.0,0.0,0.0,0.0,20.0,24.0,2025-10-23 08:31:05,Não especificada,7894900031607,Fanta
Suco Maçã OQ Garrafa 1l,https://www.paodeacucar.com/produto/1613932/suco-maca-oq-garrafa-1l,200.0,84.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,2025-10-23 08:32:07,Não especificada,7898942775802,Oq
Refrigerante Uva Fanta Lata 220ml,https://www.paodeacucar.com/produto/361293/refrigerante-uva-fanta-lata-220ml,220.0,51.0,13.0,0.0,0.0,0.0,0.0,12.0,34.0,2025-10-23 08:33:04,Não especificada,7894900050394,Fanta
Suco Integral Tangerina Villa Piva Garrafa 1l,https://www.paodeacucar.com/produto/461591/suco-integral-tangerina-villa-piva-garrafa-1l,200.0,89.0,16.0,0.7,2.0,0.0,1.3,17.0,11.0,2025-10-23 08:33:23,Não especificada,7898965716080,Villa Piva
Refrigerante Uva Fanta Lata 350ml,https://www.paodeacucar.com/produto/75754/refrigerante-uva-fanta-lata-350ml,350.0,81.0,20.0,0.0,0.0,0.0,0.0,20.0,54.0,2025-10-23 08:34:57,Não especificada,7894900050011,Fanta
Cerveja Pilsen Puro Malte Unfiltered Eisenbahn Garrafa 355ml,https://www.paodeacucar.com/produto/1380265/cerveja-pilsen-puro-malte-unfiltered-eisenbahn-garrafa-355ml,100.0,41.0,3.5,0.47,0.0,0.0,0.0,0.0,5.8,2025-10-23 08:35:34,Não especificada,7898367984346,Eisenbahn
Fanta Laranja Original PET 200ML,https://www.paodeacucar.com/produto/385858/fanta-laranja-original-pet-200ml,200.0,80.0,20.0,0.0,0.0,0.0,0.0,20.0,24.0,2025-10-23 08:36:10,Não especificada,78936478,Fanta
Suco Maçã Yakult Caixa 200ml,https://www.paodeacucar.com/produto/138477/suco-maca-yakult-caixa-200ml,200.0,80.0,20.0,0.0,0.0,0.0,0.0,20.0,6.0,2025-10-23 08:36:29,Não especificada,7891156020218,Yakult
"Suco Integral Uva Tinto Qualitá Garrafa 1,35l","https://www.paodeacucar.com/produto/1635263/suco-integral-uva-tinto-qualita-garrafa-1,35l",200.0,102.0,25.0,0.6,0.0,0.0,0.0,24.0,0.0,2025-10-23 08:36:48,Não especificada,7895000536030,Qualitá
Cerveja Fruit Beer Passion Baden Baden Garrafa 600ml,https://www.paodeacucar.com/produto/1635326/cerveja-fruit-beer-passion-baden-baden-garrafa-600ml,100.0,46.0,3.0,0.5,0.0,0.0,0.5,0.9,4.6,2025-10-23 08:37:07,Não especificada,7898230716920,Baden Baden
Suco Laranja e Maçã Natural One Ambiente Garrafa 300ml,https://www.paodeacucar.com/produto/1631425/suco-laranja-e-maca-natural-one-ambiente-garrafa-300ml,300.0,115.0,28.0,0.7,0.0,0.0,0.0,23.0,10.0,2025-10-23 08:37:26,Não especificada,7899916917624,Natural One
"Suco Integral Laranja OQ Garrafa 1,5l","https://www.paodeacucar.com/produto/1540183/suco-integral-laranja-oq-garrafa-1,5l",200.0,82.0,19.0,1.4,0.0,0.0,0.0,18.0,0.0,2025-10-23 08:38:21,Não especificada,7898942775727,Oq
Refrigerante Coca-Cola Garrafa 1l,https://www.paodeacucar.com/produto/32002/refrigerante-coca-cola-garrafa-1l,200.0,85.0,21.0,0.0,0.0,0.0,0.0,21.0,10.0,2025-10-23 08:40:13,Não especificada,7894900011715,Coca-Cola
"Refrigerante Laranja Fanta Garrafa 1,5l","https://www.paodeacucar.com/produto/25184/refrigerante-laranja-fanta-garrafa-1,5l",200.0,80.0,20.0,0.0,0.0,0.0,0.0,20.0,24.0,2025-10-23 08:40:32,Não especificada,7894900031751,Fanta
Suco Integral Uva OQ Garrafa 300ml,https://www.paodeacucar.com/produto/1545266/suco-integral-uva-oq-garrafa-300ml,200.0,82.0,19.0,0.9,0.0,0.0,0.0,19.0,0.0,2025-10-23 08:41:08,Não especificada,7898942775307,Oq
Suco Integral Uva Tinto Aliança Caixa 1l,https://www.paodeacucar.com/produto/1625512/suco-integral-uva-tinto-alianca-caixa-1l,200.0,120.0,30.0,0.0,0.0,0.0,0.0,28.0,0.0,2025-10-23 08:42:21,Não especificada,7896100503090,Aliança
Suco Integral Maçã Villa Piva Garrafa 1l,https://www.paodeacucar.com/produto/461589/suco-integral-maca-villa-piva-garrafa-1l,200.0,97.0,23.0,0.1,0.3,0.0,0.4,20.0,1.3,2025-10-23 08:42:40,Não especificada,7898965716073,Villa Piva
Refrigerante Limão Sprite Garrafa 600ml,https://www.paodeacucar.com/produto/448858/refrigerante-limao-sprite-garrafa-600ml,200.0,81.0,20.0,0.0,0.0,0.0,0.0,20.0,15.0,2025-10-23 08:42:59,Não especificada,7894900681246,Sprite
"Suco Uva e Maçã Maguary Garrafa 1,35l","https://www.paodeacucar.com/produto/1632843/suco-uva-e-maca-maguary-garrafa-1,35l",200.0,104.0,26.0,0.0,0.0,0.0,0.0,26.0,35.0,2025-10-23 08:43:36,Não especificada,7898063767052,Maguary
Suco Integral Uva Tinto Villa Piva Garrafa 300ml,https://www.paodeacucar.com/produto/419698/suco-integral-uva-tinto-villa-piva-garrafa-300ml,300.0,216.0,50.0,0.6,0.0,0.0,0.6,35.0,0.0,2025-10-23 08:43:55,Não especificada,7898965716035,Villa Piva
Isotônico Limão Gatorade Garrafa 500ml,https://www.paodeacucar.com/produto/136870/isotonico-limao-gatorade-garrafa-500ml,200.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,90.0,2025-10-23 08:44:14,Não especificada,7892840808037,Gatorade
"Suco Uva Tinto Aliança Garrafa 1,5l","https://www.paodeacucar.com/produto/395811/suco-uva-tinto-alianca-garrafa-1,5l",200.0,112.0,30.0,0.0,0.0,0.0,0.0,28.0,0.0,2025-10-23 08:44:33,Não especificada,7896100501829,Aliança
"Suco Pera com Uva Qualitá Garrafa 1,5l","https://www.paodeacucar.com/produto/1629300/suco-pera-com-uva-qualita-garrafa-1,5l",200.0,100.0,25.0,0.6,0.0,0.0,0.0,24.0,0.0,2025-10-23 08:45:11,Não especificada,7895000533879,Qualitá
Suco Integral Laranja Juq Caixa 200ml,https://www.paodeacucar.com/produto/1630105/suco-integral-laranja-juq-caixa-200ml,200.0,82.0,9.6,1.4,0.0,0.0,0.0,8.8,0.0,2025-10-23 08:47:00,Não especificada,7898942775734,Juq
Suco Integral Uva Tinto Villa Piva Garrafa 1l,https://www.paodeacucar.com/produto/461592/suco-integral-uva-tinto-villa-piva-garrafa-1l,200.0,144.0,33.0,0.4,0.0,0.0,0.4,23.0,0.0,2025-10-23 08:47:18,Não especificada,7898965716097,Villa Piva
Suco Maçã Juq Caixa 200ml,https://www.paodeacucar.com/produto/1630100/suco-maca-juq-caixa-200ml,200.0,84.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,2025-10-23 08:47:37,Não especificada,7898942775864,Juq
Suco de Caju Integral Mitto Garrafa 1 Litro,https://www.paodeacucar.com/produto/452448/suco-de-caju-integral-mitto-garrafa-1-litro,200.0,94.0,24.0,0.0,0.0,0.0,0.6,0.0,0.0,2025-10-23 08:47:56,Não especificada,7898767020026,Mitto
Suco Integral Tangerina com Capim-Cidreira Villa Piva Garrafa 1l,https://www.paodeacucar.com/produto/461590/suco-integral-tangerina-com-capim-cidreira-villa-piva-garrafa-1l,200.0,107.0,20.0,1.3,2.0,0.0,1.3,17.0,10.0,2025-10-23 08:48:15,Não especificada,7898965716110,Villa Piva
"Suco Integral Maçã com Hibisco, Canela e Gengibre Villa Piva Garrafa 1l","https://www.paodeacucar.com/produto/461596/suco-integral-maca-com-hibisco,-canela-e-gengibre-villa-piva-garrafa-1l",200.0,111.0,25.0,0.2,0.0,0.0,0.4,22.0,3.0,2025-10-23 08:49:09,Não especificada,7898965716127,Villa Piva
Refresco Adoçado Uva Del Valle Kapo Caixa 200ml,https://www.paodeacucar.com/produto/140106/refresco-adocado-uva-del-valle-kapo-caixa-200ml,200.0,71.0,17.0,0.0,0.0,0.0,0.0,17.0,8.3,2025-10-23 08:49:28,Não especificada,7894900593709,del Valle Kapo
Refrigerante ANTARCTICA Soda Limonada Garrafa 600ml,https://www.paodeacucar.com/produto/26466/refrigerante-antarctica-soda-limonada-garrafa-600ml,200.0,92.0,23.0,0.0,0.0,0.0,0.0,0.0,11.0,2025-10-23 08:49:47,Não especificada,7891991002653,Antarctica
Suco Gaseificado Integral Uva Tinto Aurora Lata 269ml,https://www.paodeacucar.com/produto/1376490/suco-gaseificado-integral-uva-tinto-aurora-lata-269ml,200.0,128.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 08:50:25,Não especificada,7891141035197,Aurora
Bebida Laranja Life Mix Caixa 1l,https://www.paodeacucar.com/produto/346268/bebida-laranja-life-mix-caixa-1l,200.0,40.0,10.0,0.7,0.0,0.0,3.8,6.8,13.0,2025-10-23 08:51:20,Não especificada,7898954360010,Life Mix
Suco de Uva Tinto Integral CASA MADEIRA Garrafa 1 Litro,https://www.paodeacucar.com/produto/327541/suco-de-uva-tinto-integral-casa-madeira-garrafa-1-litro,200.0,137.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 08:51:39,Não especificada,7898070110841,Casa Madeira
Néctar Abacaxi e Maçã Qualitá Caixa 1l,https://www.paodeacucar.com/produto/1635067/nectar-abacaxi-e-maca-qualita-caixa-1l,200.0,86.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,2025-10-23 08:51:58,Não especificada,7895000535163,Qualitá
